Species,Order,Family,Genus,Species.1,BDT.C,ET,LT,Author,Year,Title,Journal,Location_new,lon_new,lat_new,quality,index,T_Avg ,BDT_Dist,ET_Dist,LT_Dist,T_Index,,,,
Aphidius matricariae,Hymenoptera,Braconidae,Aphidius,matricariae,1.4,NA,NA,"Bernal J., Gonzalez D.",1993,Temperature requirements of  four parasites of the Russian  wheat aphid Diuraphis noxia.,Entomologia Experimentalis et Applicata,Iraq north,43.679291,33.223191,1,635,21.9,20.5,NA,NA,3,,,,
Aphidius matricariae,Hymenoptera,Braconidae,Aphidius,matricariae,1.4,NA,NA,"Bernal, J. and D. Gonzalez",1993,Temperature requirements of four parasites of the Russian wheat aphid Diuraphis noxia,Entomologia Experimentalis et Applicata,Iraq north,43.679291,33.223191,1,636,21.9,20.5,NA,NA,3,,,,
Aphytis melinus,Hymenoptera,Aphelinidae,Aphytis,melinus,10.8,NA,NA,"Abdelrahman, I.",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature.",Australian Journal of Zoology,"Waikerie SA 5330, Australia",NA,NA,2,600,16.2,5.4,NA,NA,2,,,,
Aphytis melinus,Hymenoptera,Aphelinidae,Aphytis,melinus,11,NA,NA,"Abdelrahman, I.",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature.",Australian Journal of Zoology,"Waikerie SA 5330, Australia",NA,NA,2,600,16.2,5.2,NA,NA,2,,,,
Aphytis melinus,Hymenoptera,Aphelinidae,Aphytis,melinus,10.8,NA,NA,"Abdelrahman, I. ",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature. ",Australian Journal of Zoology ,"Waikerie SA 5330, Australia",NA,NA,2,601,16.2,5.4,NA,NA,2,,,,
Aphytis melinus,Hymenoptera,Aphelinidae,Aphytis,melinus,11,NA,NA,"Abdelrahman, I. ",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature. ",Australian Journal of Zoology ,"Waikerie SA 5330, Australia",NA,NA,2,601,16.2,5.2,NA,NA,2,,,,
Aphytis melinus,Hymenoptera,Aphelinidae,Aphytis,melinus,13.3,NA,NA,"Abdelrahman, I. ",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature. ",Australian Journal of Zoology ,"Waikerie SA 5330, Australia",NA,NA,2,601,16.2,2.9,NA,NA,2,,,,
Aphytis melinus,Hymenoptera,Aphelinidae,Aphytis,melinus,13.4,NA,NA,"Abdelrahman, I. ",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature. ",Australian Journal of Zoology ,"Waikerie SA 5330, Australia",NA,NA,2,601,16.2,2.8,NA,NA,2,,,,
Argyrotaenia velutinana,Lepidoptera,Tortricidae,Argyrotaenia,velutinana,8,NA,6.3,"Hawthorne D.J., Rock G.C., Stinner R.E.",1988,Redbanded leafroller (Lepidoptera: Tortricidae): thermal requirements for development and simulation of within-season phenology in North Carolina,Environmental Entomology,"Henderson County, North Carolina",-82.46344,35.309625,2,984,14,6,NA,7.7,2,,,,
Argyrotaenia velutinana,Lepidoptera,Tortricidae,Argyrotaenia,velutinana,8.1,7.7,7,"Hawthorne D.J., Rock G.C., Stinner R.E.",1988,Redbanded leafroller (Lepidoptera: Tortricidae): thermal requirements for development and simulation of within-season phenology in North Carolina,Environmental Entomology,"Henderson County, North Carolina",-82.46344,35.309625,2,984,14,5.9,6.3,7,2,,,,
Argyrotaenia velutinana,Lepidoptera,Tortricidae,Argyrotaenia,velutinana,8.2,NA,7.4,"Hawthorne D.J., Rock G.C., Stinner R.E.",1988,Redbanded leafroller (Lepidoptera: Tortricidae): thermal requirements for development and simulation of within-season phenology in North Carolina,Environmental Entomology,"Henderson County, North Carolina",-82.46344,35.309625,2,984,14,5.8,NA,6.6,2,,,,
Argyrotaenia velutinana,Lepidoptera,Tortricidae,Argyrotaenia,velutinana,8,7.9,6.3,"Hawthorne, D. J., G. C. Rock, et al.",1988,Redbanded leafroller (Lepidoptera: Tortricidae): thermal requirements for development and simulation of within-season phenology in North Carolina,Environmental Entomology,"Henderson County, North Carolina",-82.46344,35.309625,2,985,14,6,6.1,7.7,2,,,,
Argyrotaenia velutinana,Lepidoptera,Tortricidae,Argyrotaenia,velutinana,8.2,7.9,7.4,"Hawthorne, D. J., G. C. Rock, et al.",1988,Redbanded leafroller (Lepidoptera: Tortricidae): thermal requirements for development and simulation of within-season phenology in North Carolina,Environmental Entomology,"Henderson County, North Carolina",-82.46344,35.309625,2,985,14,5.8,6.1,6.6,2,,,,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,8.06,NA,NA,"Muniz, M. and Nombela, G.",2001,Differential variation in development of the B- and Q-biotypes of Bemisia tabaci on sweet pepper Capsicum annnuum L. at constant temperatures.,Environmental Entomology,"MÃ¡laga, Spain",-4.412491,36.725391,2,408,10.2,2.14,NA,NA,2,,,,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,8.17,NA,NA,"Muniz, M. and Nombela, G.",2001,Differential variation in development of the B- and Q-biotypes of Bemisia tabaci on sweet pepper Capsicum annnuum L. at constant temperatures.,Environmental Entomology,"MÃ¡laga, Spain",-4.412491,36.725391,2,408,10.2,2.03,NA,NA,2,,,,
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,argentifolii,10.02,13.31,8.17,"Nava-Camberos, U., Riley, D.G. And Harris, M.K.",2001,"Temperature and host plant effects on development, survival, and fecundity of Bemisia argentifolii (Homoptera: Alyerodidae).",Environmental Entomology,"Piracicaba, State of SÃ£o Paulo, Brazil",-47.649996,-22.744974,2,401,21.5,11.48,8.19,13.33,3,,,,
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,argentifolii,12.19,13.15,11.32,"Nava-Camberos, U., Riley, D.G. And Harris, M.K.",2001,"Temperature and host plant effects on development, survival, and fecundity of Bemisia argentifolii (Homoptera: Alyerodidae).",Environmental Entomology,"Piracicaba, State of SÃ£o Paulo, Brazil",-47.649996,-22.744974,2,401,21.5,9.31,8.35,10.18,3,,,,
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,argentifolii,12.99,13.45,12.7,"Nava-Camberos, U., Riley, D.G. And Harris, M.K.",2001,"Temperature and host plant effects on development, survival, and fecundity of Bemisia argentifolii (Homoptera: Alyerodidae).",Environmental Entomology,"Piracicaba, State of SÃ£o Paulo, Brazil",-47.649996,-22.744974,2,401,21.5,8.51,8.05,8.8,3,,,,
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,argentifolii,13.89,11.84,13.98,"Nava-Camberos, U., Riley, D.G. And Harris, M.K.",2001,"Temperature and host plant effects on development, survival, and fecundity of Bemisia argentifolii (Homoptera: Alyerodidae).",Environmental Entomology,"Piracicaba, State of SÃ£o Paulo, Brazil",-47.649996,-22.744974,2,401,21.5,7.61,9.66,7.52,3,,,,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,11.9,13.9,10.8,"Powell D.A., Bellows T.S.",1992,Preimaginal development and survival of Bemisia tabaci on cotton and cucumber.,Environmental Entomology,"Indio, California, USA",NA,NA,2,409,21.8,9.9,7.9,11,3,,,,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,14.4,15.6,13.7,"Powell D.A., Bellows T.S.",1992,Preimaginal development and survival of Bemisia tabaci on cotton and cucumber.,Environmental Entomology,"Indio, California, USA",NA,NA,2,409,21.8,7.4,6.2,8.1,3,,,,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,tabaci,10,NA,NA,"Zalom, F.G., E.T. Natwick, and N.C. Toscano",1985,Temperature regulation of Bemisia tabaci (Homoptera: Aleyrodidae) populations in Imperial Valley Cotton,Journal of Economic Entomology,"Imperial Valley, Imperial County, CA",-114.963558,32.736752,2,410,21.6,11.6,NA,NA,3,,,,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,brassicae,4.7,NA,NA,"Campbell, A., Frazer, B.D., Gilbert, N., Gutierrez, A.P. and Mackanes M.",1974,Temperature requirements of some aphids and their parasites. ,Journal of Applied Ecology ,"Vancouver, British Columbia, CA",NA,NA,2,469,9,4.3,NA,NA,2,,,,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,brassicae,7.1,NA,NA,"Campbell, A., Frazer, B.D., Gilbert, N., Gutierrez, A.P. and Mackanes M.",1974,Temperature requirements of some aphids and their parasites. ,Journal of Applied Ecology ,"Berkeley, CA, USA",NA,NA,2,472,13.5,6.4,NA,NA,2,,,,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,brassicae,6.7,-,6.7,"Raworth, D. A.",1984,"Population dynamics of the cabbage aphid, Brevicoryne brassicae (Homoptera: Aphididae) at Vancouver, British Columbia. II. Development, fecundity, and longevity",Canadian Entomologist,"Vancouver and Abbotsford, BC, Canada",NA,NA,NA,473,9,2.3,NA,2.3,2,,,,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,brassicae,6.7,-,6.7,"Raworth, D. A.",1984,"Population dynamics of the cabbage aphid, Brevicoryne brassicae (Homoptera: Aphididae) at Vancouver, British Columbia. II. Development, fecundity, and longevity",Canadian Entomologist,"Vancouver and Abbotsford, BC, Canada",NA,NA,NA,473,9,2.3,NA,2.3,2,,,,
