Species,Order,Family,Genus,Species.1,BDT.C,ET,LT,Author,Year,Title,Journal,Location_new,lon_new,lat_new,quality,index,T_Avg ,BDT_Dist,ET_Dist,LT_Dist,T_Index,,,,
Spodoptera littoralis,Lepidoptera,Noctuidae,Spodoptera,litoralis,10.54,8.2,10,"Rao, G. V. R., J. A. Wightman, et al.",1989,Threshold temperatures and thermal requirements for the development of Spodoptera litura (Lepidoptera: Noctuidae),Environmental Entomology,"Patancheru, Hyderabad, India",NA,NA,2,909,31,20.46,22.8,21,3,,,,
Hymenoptera,Encyrtidae,Metaphycus,swirskii,"Lleida,Spain",22.8,19.8,23.8,"Hafeez M.A.M.A., Chapman G.",1966,"Effects of temperature and high relative humidity on the rate of development and mortality of Laethicus oryzae Waterhouse (Coleoptera, Tenebrionidae).",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,1,165,9.2,13.6,10.6,14.6,2,,,,
Hymenoptera,Encyrtidae,Metaphycus,swirskii,"Shimogamo, Kyoto, Japan",19.7,NA,NA,"Nowosielski-Slepowron B.J.A., Aryeetay E.A.",1980,"Developmental biology of field and laboratory populations of Laethicus oryzae Waterhous (Coleoptera, Tenebrionidae) under various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,1,166,9.2,10.5,NA,NA,2,,,,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,granarium,19,18.2,19.3,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,108,20.5,1.5,2.3,1.2,2,,,,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,granarium,19.7,15.9,20.3,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,108,20.5,0.8,4.6,0.2,2,,,,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,granarium,20,15.9,20.6,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,108,20.5,0.5,4.6,0.1,2,,,,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,granarium,20,17.3,20.6,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,108,20.5,0.5,3.2,0.1,2,,,,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,granarium,20.5,17.3,20.5,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,108,20.5,0,3.2,0,2,,,,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,granarium,20.6,18.2,21.1,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,108,20.5,0.1,2.3,0.6,2,,,,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,granarium,20.8,17.9,21.3,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,108,20.5,0.3,2.6,0.8,2,,,,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,granarium,21.2,17.9,21.9,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,108,20.5,0.7,2.6,1.4,2,,,,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,irroratum,16.6,14.4,17.1,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,110,20.5,3.9,6.1,3.4,2,,,,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,irroratum,16.7,18.2,16.3,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,110,20.5,3.8,2.3,4.2,2,,,,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,irroratum,17.6,15.4,18.2,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,110,20.5,2.9,5.1,2.3,2,,,,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,irroratum,17.8,15.4,18.4,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,110,20.5,2.7,5.1,2.1,2,,,,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,irroratum,17.9,18.2,18,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,110,20.5,2.6,2.3,2.5,2,,,,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,irroratum,19.1,21.4,18.8,Badawi A.,1973,The biology of two species of Trogoderma existing in Egypt (Coleoptera: Dermestidae).,Bull.Soc.Entomol.Egypte,Egypt,29.639027,30.523467,3,110,20.5,1.4,0.9,1.7,2,,,,
